text,label
Harika CV'm dönüş aldı,0
Yeni bulduğum yemek tarifi çok iyi sonuç verdi,0
O sınavdan o kadar yüksek puan alman muhteşem,0
Haftalardır yağmur yağıyor bu yüzden barajlar doldu,0
Bebek ağlıyor,0
Kedi miyavlıyor,0
Fırtına çıktığı için elektirikler kesildi,0
Off yine elektirikler kesildi,0
Lanet olsun yine elektirikler kesildi,0
Gece 3 saat uyuyabildim çok yorgunum,0
Çok enerjiğim 7 saat uyudum,0
Bana çok yardımcı oldun süpersin,0
Son dakika attığı muazzam golle takımını kazandırdı,0
Saatlerdir projeyle ilgileniyorum çok yoruldum,0
Bugün hava oldukça güzel,0
Kahve içip ders çalışacağım,0
Sabah erken uyandım,0
Film düşündüğümden daha iyiydi,0